geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_2,100100,North Cape,24,15,18,18,6
Statistical_Area_3,100200,Rangaunu Harbour,24,9,12,12,15
Statistical_Area_4,100300,Inlets Far North District,0,0,0,0,0
Statistical_Area_5,100400,Karikari Peninsula,9,9,9,18,15
Statistical_Area_6,100500,Tangonge,6,6,6,12,3
Statistical_Area_7,100600,Ahipara,9,12,6,9,6
Statistical_Area_8,100700,Kaitaia East,27,15,27,21,18
Statistical_Area_9,100800,Kaitaia West,48,60,69,60,60
Statistical_Area_10,100900,Rangitihi,3,6,6,9,12
Statistical_Area_11,101000,Oruru-Parapara,3,6,3,6,3
Statistical_Area_12,101100,Taumarumaru,18,15,21,6,21
Statistical_Area_13,101200,Herekino-Takahue,3,12,9,3,9
Statistical_Area_14,101300,Peria,6,12,9,9,3
Statistical_Area_15,101400,Taemaro-Oruaiti,6,3,9,6,6
Statistical_Area_16,101500,Whakapaku,6,3,9,6,6
Statistical_Area_17,101600,Hokianga North,6,9,9,12,12
Statistical_Area_18,101700,Kohukohu-Broadwood,6,3,6,9,6
Statistical_Area_19,101800,Whakarara,9,9,15,6,9
Statistical_Area_20,101900,Kaeo,12,9,12,12,12
Statistical_Area_21,102000,Omahuta Forest-Horeke,18,9,6,9,15
Statistical_Area_22,102100,Hokianga South,15,12,12,18,24
Statistical_Area_23,102200,Lake Manuwai-Kapiro,3,12,9,9,15
Statistical_Area_24,102300,Okaihau,6,6,6,3,9
Statistical_Area_25,102400,Rangitane-Purerua,12,6,12,9,9
Statistical_Area_26,102500,Waipapa,3,3,3,0,6
Statistical_Area_27,102600,Puketotara,6,12,6,9,9
Statistical_Area_28,102700,Waima Forest,3,9,3,9,12
Statistical_Area_29,102800,Riverview,9,6,18,18,15
Statistical_Area_30,102900,Waipoua Forest,9,12,9,9,6
Statistical_Area_31,103000,Kerikeri Central,39,33,39,42,66
Statistical_Area_32,103100,Kerikeri South,15,6,15,12,15
Statistical_Area_33,103200,Ohaeawai-Waimate North,9,12,6,6,9
Statistical_Area_34,103300,Puketona-Waitangi,6,6,6,9,12
Statistical_Area_35,103400,Ngapuhi,12,12,12,21,12
Statistical_Area_36,103500,Kaikohe,39,45,45,45,48
Statistical_Area_37,103600,Pakaraka,6,3,3,6,3
Statistical_Area_38,103700,Haruru,12,9,24,18,21
Statistical_Area_39,103800,Russell,9,6,6,12,9
Statistical_Area_40,103900,Paihia,9,15,9,12,9
Statistical_Area_41,104000,Mataraua Forest,0,6,3,3,3
Statistical_Area_42,104100,Matawaia-Taumarere,6,6,12,15,9
Statistical_Area_43,104200,Russell Peninsula,3,6,3,3,6
